station,name,date,prcp,tavg,tmax,tmin
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-15,0.0,45.0,48,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-16,0.0,58.5,70,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-17,0.75,51.0,64,38
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-18,0.0,49.5,64,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-19,0.0,52.5,62,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-20,0.96,47.0,51,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-21,0.01,47.0,54,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-22,0.0,50.5,65,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-23,0.0,41.5,51,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-24,0.47,45.5,51,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-25,0.0,52.5,60,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-26,0.0,45.5,53,38
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-27,0.0,44.0,54,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-28,0.0,55.0,67,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-29,0.02,65.0,85,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-30,0.05,48.0,51,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-03-31,0.79,63.5,80,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-01,0.08,51.5,61,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-02,0.01,42.0,48,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-03,0.06,60.0,75,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-04,0.07,66.0,73,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-05,0.21,52.5,60,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-06,0.19,52.0,59,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-07,0.17,45.5,51,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-08,0.0,42.0,49,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-09,0.0,41.0,50,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-10,0.01,45.5,51,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-11,0.52,45.5,48,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-12,0.5,39.5,43,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-13,0.0,50.0,60,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-14,0.03,55.5,68,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-15,0.0,61.0,72,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-16,0.0,49.5,53,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-17,0.0,54.5,66,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-18,0.0,56.0,71,41
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-19,0.0,72.5,87,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-20,0.0,62.5,73,52
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-21,0.0,52.5,57,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-22,0.0,67.0,83,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-23,0.0,66.0,76,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-24,0.0,66.0,78,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-25,0.0,67.0,79,55
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-26,0.54,64.5,75,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-27,0.0,56.5,64,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-28,0.0,64.0,77,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-29,0.0,67.5,83,52
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-04-30,0.0,67.5,77,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-01,0.0,60.0,69,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-02,0.0,72.5,88,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-03,0.27,75.5,88,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-04,0.16,65.5,71,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-05,0.36,62.0,65,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-06,0.11,64.0,69,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-07,0.0,67.5,78,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-08,0.0,69.0,78,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-09,0.28,56.0,60,52
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-10,0.0,63.5,76,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-11,0.0,67.5,81,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-12,0.0,62.5,73,52
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-13,0.23,67.5,73,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-14,0.95,62.5,66,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-15,0.0,67.0,73,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-16,0.27,68.5,75,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-17,0.0,76.0,87,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-18,0.0,69.5,77,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-19,0.0,62.5,73,52
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-20,0.0,60.5,71,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-21,0.18,54.5,59,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-22,0.95,51.5,53,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-23,0.06,57.5,67,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-24,0.02,59.5,69,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-25,0.0,60.5,71,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-26,0.0,64.5,75,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-27,0.0,66.0,76,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-28,0.43,61.5,68,55
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-29,0.08,64.0,71,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-30,0.02,70.0,78,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-05-31,0.44,63.5,73,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-01,0.0,60.0,70,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-02,0.0,62.5,75,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-03,0.0,68.5,81,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-04,0.0,73.0,86,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-06-05,0.0,79.0,90,68
