"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-02","0.00",,"88","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-03","0.27",,"88","63"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-04","0.16",,"71","60"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-05","0.36",,"65","59"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-06","0.11",,"69","59"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-07","0.00",,"78","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-08","0.00",,"78","60"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-09","0.28",,"60","52"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-10","0.00",,"76","51"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-11","0.00",,"81","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-12","0.00",,"73","52"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-13","0.23",,"73","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-14","0.95",,"66","59"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-15","0.00",,"73","61"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-16","0.27",,"75","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-17","0.00",,"87","65"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-18","0.00",,"77","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-19","0.00",,"73","52"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-20","0.00",,"71","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-21","0.18",,"59","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-22","0.95",,"53","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-23","0.06",,"67","48"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-24","0.02",,"69","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-25","0.00",,"71","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-26","0.00",,"75","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-27","0.00",,"76","56"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-28","0.43",,"68","55"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2025-05-29","0.08",,"71","57"
